GEOID,county_name,state_name,pop_total,pop_density_km2,median_age,pct_hispanic,pct_black,pct_foreign_born,pct_veteran,median_hh_income,income_per_capita,gini,pct_poverty,pct_unemployed,pct_bachelor_plus,median_home_value,median_gross_rent,rent_burden_pct,pct_renter,pct_no_vehicle,pct_broadband,pct_uninsured,pct_disability,diabetes_pct,obesity_pct,hypertension_pct,high_chol_pct,chd_pct,stroke_pct,copd_pct,asthma_pct,smoking_pct,no_exercise_pct,depression_pct,mental_distress_pct,phys_distress_pct
31039,Cuming County,Nebraska,9000.0,6.09,41.8,10.3,0.43,5.88,5.87,68917.0,34825.0,0.404,7.65,2.64,23.95,160000.0,782.0,21.3,28.97,2.32,76.07,7.5,9.9,12.1,40.4,37.5,36.5,7.7,3.8,7.3,8.9,13.5,28.4,16.7,13.5,12.8
53069,Wahkiakum County,Washington,4476.0,6.57,56.3,7.35,0.98,4.4,16.65,59167.0,31643.0,0.428,13.73,3.18,22.14,319100.0,1110.0,46.2,14.74,3.43,85.77,4.3,20.5,14.7,39.1,42.9,43.4,10.2,5.1,9.2,11.5,13.3,21.7,25.4,16.0,16.8
35011,De Baca County,New Mexico,1695.0,0.28,28.5,63.48,0.06,0.29,5.14,34702.0,27710.0,0.446,16.26,8.53,9.22,219200.0,688.0,37.8,32.25,5.53,74.9,8.9,13.8,15.3,32.5,40.6,39.3,9.8,4.9,8.8,10.0,14.1,27.7,22.5,15.4,17.2
31109,Lancaster County,Nebraska,322063.0,148.47,34.1,7.7,3.73,8.41,5.97,70387.0,38509.0,0.451,11.8,3.16,40.85,239900.0,997.0,27.8,40.69,5.05,91.34,6.6,11.3,9.6,34.4,30.0,30.9,5.5,2.8,5.5,9.2,11.7,20.2,20.5,14.5,10.3
31129,Nuckolls County,Nebraska,4092.0,2.75,49.4,1.47,0.2,1.32,10.01,66000.0,39201.0,0.468,6.27,1.32,26.82,88500.0,614.0,17.5,18.42,2.4,80.84,10.2,13.4,12.7,41.8,40.0,37.5,8.4,4.1,7.9,9.0,13.5,27.8,16.9,12.8,13.0
46099,Minnehaha County,South Dakota,197742.0,94.63,35.6,5.57,6.25,7.53,7.37,73110.0,39289.0,0.429,8.7,2.38,34.18,246200.0,927.0,25.6,36.57,5.08,90.65,8.2,10.4,10.6,37.4,31.7,33.3,5.5,2.8,5.6,9.7,14.2,23.3,22.3,15.7,11.0
48327,Menard County,Texas,1964.0,0.84,59.4,34.22,0.05,3.82,12.7,40945.0,31983.0,0.523,22.48,14.29,23.87,86500.0,720.0,25.6,24.53,4.09,74.03,25.4,29.0,17.6,36.5,44.2,43.8,10.3,5.2,9.8,9.7,14.0,33.3,20.9,15.3,17.0
06091,Sierra County,California,2916.0,1.18,54.9,11.39,0.24,2.61,8.69,61108.0,37692.0,0.479,12.58,5.62,23.88,289400.0,1184.0,28.8,17.18,3.0,77.0,10.9,14.8,15.3,32.5,42.8,42.2,10.3,5.2,10.2,10.6,15.1,27.3,23.2,16.8,17.5
21053,Clinton County,Kentucky,9295.0,18.21,42.4,3.32,0.15,1.31,8.05,41180.0,23905.0,0.46,20.28,5.59,14.0,90600.0,605.0,22.3,27.18,6.07,73.01,6.2,24.5,,,,,,,,,,,,,
39063,Hancock County,Ohio,75072.0,54.55,39.4,6.01,1.76,2.98,7.62,67006.0,37479.0,0.44,10.54,3.66,28.5,179600.0,877.0,25.8,31.15,4.91,89.09,4.8,12.8,12.5,39.3,36.2,36.2,6.9,3.3,7.5,10.6,14.5,26.7,25.1,17.4,13.3
48189,Hale County,Texas,32525.0,12.5,33.4,61.58,4.05,10.74,3.64,50721.0,23696.0,0.446,18.51,4.67,14.8,97500.0,757.0,24.8,38.26,3.75,79.02,22.3,12.3,15.6,38.9,36.3,37.0,7.1,3.8,7.4,9.5,15.7,36.1,21.3,18.3,16.3
01027,Clay County,Alabama,14209.0,9.08,43.9,3.08,12.6,0.65,6.31,48074.0,27991.0,0.48,17.57,5.75,12.76,144100.0,576.0,24.1,21.66,6.36,74.68,8.1,19.6,16.5,42.5,47.6,44.5,9.3,4.9,10.6,10.4,18.2,32.7,24.4,18.0,16.9
48011,Armstrong County,Texas,1912.0,0.81,43.9,9.41,0.84,2.51,11.0,70417.0,31823.0,0.363,5.9,0.24,25.92,167600.0,942.0,18.1,12.55,0.0,88.41,7.3,11.7,12.6,33.3,38.0,39.6,7.4,3.7,7.4,9.9,12.8,24.9,23.0,16.2,13.7
39003,Allen County,Ohio,102087.0,97.92,39.8,3.48,10.74,1.82,7.77,58976.0,31523.0,0.429,12.33,6.08,19.14,147000.0,844.0,26.5,32.51,7.53,87.05,6.2,16.1,14.5,39.7,38.7,37.5,7.9,3.9,9.1,11.1,17.0,29.3,27.2,18.3,14.6
13189,McDuffie County,Georgia,21715.0,32.58,38.5,3.53,41.16,1.75,8.55,54752.0,28259.0,0.453,16.14,3.78,18.38,140900.0,834.0,30.7,34.15,4.81,74.67,11.1,12.3,16.7,38.9,44.4,39.0,8.0,4.9,9.2,11.0,17.3,32.3,20.4,18.5,16.3
55111,Sauk County,Wisconsin,65664.0,30.49,41.1,5.78,0.81,3.12,7.83,72930.0,37431.0,0.407,8.61,2.81,25.16,227500.0,914.0,26.7,26.82,5.17,86.91,6.6,12.9,12.3,40.4,34.0,35.4,7.1,3.5,7.0,10.8,14.9,29.8,24.2,15.7,13.8
05137,Stone County,Arkansas,12393.0,7.89,49.5,2.01,0.14,0.6,11.26,37664.0,21640.0,0.448,21.19,5.38,14.44,153700.0,669.0,32.6,27.69,7.63,59.27,8.6,27.9,17.0,39.8,47.9,44.4,11.8,5.7,13.2,10.5,19.7,37.9,25.3,18.3,19.4
41063,Wallowa County,Oregon,7439.0,0.91,50.9,3.76,1.01,1.69,9.37,62238.0,37378.0,0.455,9.2,5.99,31.97,336900.0,830.0,26.5,26.11,4.95,81.47,8.1,16.7,12.6,34.2,38.5,38.5,8.3,4.1,8.2,11.7,11.8,20.4,25.6,15.6,14.5
42007,Beaver County,Pennsylvania,167629.0,148.89,44.9,1.93,6.04,2.11,8.17,67194.0,37649.0,0.436,10.43,5.6,26.76,170900.0,830.0,26.7,26.4,8.49,86.13,3.9,15.8,,,,,,,,,,,,,
28061,Jasper County,Mississippi,16320.0,9.32,41.5,0.81,54.65,0.39,7.55,43914.0,24068.0,0.443,17.21,3.78,14.9,110400.0,804.0,26.3,15.67,9.45,55.25,11.3,19.4,19.0,44.9,50.6,40.8,9.1,5.8,10.0,10.2,18.7,40.2,18.1,17.3,16.3
